Id,satisfaction_level,number_project,average_monthly_hours,time_spend_company_in_yrs,Work_accident,promotion_last_5years
514,0.11,6,293,4,0,0
515,0.83,5,275,5,0,0
516,0.88,5,219,6,1,1
517,0.1,6,247,4,0,1
518,0.09,7,309,4,0,1
519,0.44,2,151,3,0,0
520,0.39,2,129,3,0,1
521,0.87,4,274,5,0,0
522,0.74,4,233,5,0,1
523,0.1,7,289,4,0,1
524,0.74,4,239,6,0,1
525,0.75,5,221,5,0,0
526,0.41,2,150,3,0,1
527,0.41,2,144,3,1,0
528,0.09,7,289,4,0,1
529,0.09,6,301,5,0,1
530,0.39,2,145,3,0,0
531,0.4,2,137,3,0,1
532,0.37,2,131,3,1,1
533,0.1,6,246,4,0,1
534,0.43,2,136,3,0,0
535,0.75,5,240,6,1,1
536,0.37,2,156,3,0,1
537,0.11,6,305,4,0,1
538,0.45,2,154,3,1,0
539,0.87,5,261,5,1,1
540,0.11,7,244,4,0,0
541,0.45,2,129,3,0,0
542,0.81,4,254,5,0,0
543,0.77,5,236,5,0,0
544,0.89,5,237,5,0,0
545,0.43,2,135,3,0,0
546,0.78,5,236,5,0,0
547,0.37,2,149,3,0,1
548,0.37,2,141,3,0,1
549,0.85,4,270,5,0,1
550,0.41,2,138,3,0,0
551,0.11,6,298,4,0,1
552,0.75,5,254,5,0,0
553,0.82,5,248,5,0,0
554,0.79,5,257,6,0,1
555,0.43,2,150,3,0,1
556,0.1,7,281,4,0,1
557,0.46,2,141,3,1,0
558,0.43,2,157,3,0,1
559,0.43,2,136,3,0,1
560,0.11,7,296,4,0,0
561,0.09,6,279,4,0,0
562,0.37,2,131,3,0,0
563,0.4,2,160,3,0,0
564,0.1,7,291,4,0,0
565,0.41,2,157,3,0,0
566,0.79,3,294,4,0,0
567,0.11,7,310,4,0,1
568,0.1,6,282,4,0,0
569,0.44,2,134,3,0,0
570,0.25,4,214,4,0,0
571,0.44,2,137,3,0,0
572,0.73,4,252,5,0,1
573,0.75,5,243,6,0,0
574,0.36,2,148,3,0,0
575,0.37,2,151,3,0,0
576,0.39,2,129,3,0,0
577,0.48,2,198,2,0,0
578,0.57,4,275,6,0,1
579,0.9,5,243,5,0,1
580,0.39,2,159,3,0,0
581,0.44,2,145,3,0,0
582,0.81,5,242,5,0,1
583,0.74,5,242,5,0,0
584,0.44,2,145,3,0,0
585,0.41,2,154,3,0,0
586,0.4,2,139,3,0,1
587,0.46,2,152,3,0,0
588,0.8,2,211,3,0,1
589,0.87,5,258,5,0,0
590,0.39,2,155,3,0,1
591,0.38,2,148,3,0,1
592,0.66,2,255,3,0,0
593,0.1,6,264,4,0,1
594,0.37,2,132,3,0,1
595,0.1,6,255,4,0,1
596,0.09,5,263,4,0,0
597,0.86,5,222,5,0,0
598,0.11,6,263,4,0,1
599,0.37,2,157,3,0,0
600,0.11,7,307,4,0,1
601,0.77,5,259,6,0,1
602,0.84,5,222,6,0,1
603,0.1,7,250,4,0,1
604,0.83,5,245,5,0,1
605,0.11,6,292,4,0,1
606,0.86,5,252,5,0,0
607,0.38,2,161,3,0,0
608,0.11,5,250,4,0,0
609,0.45,2,134,3,0,1
610,0.1,7,279,4,0,1
611,0.09,7,256,4,0,0
612,0.39,2,127,3,0,0
613,0.37,2,138,3,1,0
614,0.81,5,243,5,0,0
615,0.09,7,296,4,0,1
616,0.1,7,267,4,0,0
617,0.39,2,144,3,0,0
618,0.83,4,251,5,0,0
619,0.45,2,148,3,0,0
620,0.43,2,141,3,0,1
621,0.8,3,268,2,0,0
622,0.1,6,247,4,0,1
623,0.1,2,247,4,0,0
624,0.36,2,146,3,0,1
625,0.38,2,140,3,0,1
626,0.78,5,263,6,0,1
627,0.44,2,145,3,0,1
628,0.41,2,156,3,1,0
629,0.72,5,244,6,0,0
630,0.46,2,144,3,0,0
631,0.1,7,286,4,0,1
632,0.34,4,141,2,0,1
633,0.11,6,260,5,0,1
634,0.38,2,154,3,0,0
635,0.82,5,225,5,0,0
636,0.39,2,127,3,0,0
637,0.44,2,140,3,0,1
638,0.43,2,147,3,0,0
639,0.84,4,227,5,0,0
640,0.43,2,153,3,0,1
641,0.37,2,128,3,0,0
642,0.74,4,228,5,0,0
643,0.73,5,235,5,0,0
644,0.37,2,148,3,0,1
645,0.58,4,238,3,0,1
646,0.4,2,141,3,0,1
647,0.51,5,249,4,0,0
648,0.46,2,151,3,0,1
649,0.45,2,129,3,0,0
650,0.46,2,156,3,0,0
651,0.39,2,134,3,0,1
652,0.09,6,269,4,0,0
653,0.09,6,290,4,0,0
654,0.37,2,132,3,0,1
655,0.1,7,308,4,0,1
656,0.77,4,232,5,0,1
657,0.79,5,235,5,0,0
658,0.43,2,130,3,0,0
659,0.38,2,146,3,0,1
660,0.77,5,221,6,0,1
661,0.44,2,130,3,0,0
662,0.39,2,136,3,0,1
663,0.78,5,274,6,0,0
664,0.1,6,256,5,0,0
665,0.1,5,276,4,0,0
666,0.75,5,267,5,0,1
667,0.46,6,213,3,0,1
668,0.91,4,274,6,0,1
669,0.1,6,258,4,0,1
670,0.72,3,153,5,0,0
671,0.11,6,245,4,0,0
672,0.11,6,264,4,0,0
673,0.46,2,154,3,0,0
674,0.37,2,149,3,0,0
675,0.46,2,157,3,0,1
676,0.43,2,127,3,0,1
677,0.11,6,270,4,0,0
678,0.73,5,236,6,0,1
679,0.43,2,158,3,0,1
680,0.86,5,229,5,0,1
681,0.1,6,269,4,0,0
682,0.4,2,128,3,0,1
683,0.11,7,278,4,0,1
684,0.86,3,158,5,0,0
685,0.42,3,202,3,0,0
686,0.79,4,240,5,0,0
687,0.1,7,255,4,0,0
688,0.09,7,254,4,0,0
689,0.09,6,257,4,0,0
690,0.87,4,228,5,0,1
691,0.36,2,145,3,0,0
692,0.42,3,218,4,0,0
693,0.84,5,268,5,0,1
694,0.1,6,278,4,0,1
695,0.78,3,249,5,0,0
696,0.35,3,236,4,0,1
697,0.1,7,291,4,0,1
698,0.11,6,306,4,0,0
699,0.43,2,135,3,0,1
700,0.38,2,156,3,0,0
701,0.46,2,143,3,0,1
702,0.89,4,243,5,0,0
703,0.45,2,147,3,0,1
704,0.44,2,159,3,0,0
705,0.74,5,216,3,0,0
706,0.45,2,152,3,0,0
707,0.79,4,226,5,0,1
708,0.79,5,271,5,0,1
709,0.11,6,255,4,0,1
710,0.42,2,140,3,0,1
711,0.64,6,252,2,0,1
712,0.4,2,159,3,0,0
713,0.84,5,270,5,0,1
714,0.73,5,232,5,0,1
715,0.4,2,144,3,0,1
716,0.36,2,127,3,0,1
717,0.43,2,131,3,0,0
718,0.11,6,243,4,0,0
719,0.91,5,244,6,0,0
720,0.8,5,260,5,0,0
721,0.42,2,139,3,0,0
722,0.31,4,184,3,0,0
723,0.44,2,130,3,0,1
724,0.38,2,135,3,0,1
725,0.45,2,146,3,0,0
726,0.43,2,149,3,0,1
727,0.45,2,153,3,1,0
728,0.43,2,160,3,0,0
729,0.43,2,160,3,0,1
730,0.09,6,282,4,0,1
731,0.43,2,128,3,0,0
732,0.79,4,232,5,0,0
733,0.85,3,226,2,0,0
734,0.38,2,129,3,0,0
735,0.11,7,255,4,0,1
736,0.83,5,258,5,0,0
737,0.81,4,229,5,0,1
738,0.42,2,143,3,0,1
739,0.11,6,257,4,0,0
740,0.11,7,275,4,0,1
741,0.1,7,291,4,0,1
742,0.5,5,153,4,0,0
743,0.44,2,154,3,0,1
744,0.11,6,301,4,0,1
745,0.39,2,134,3,0,0
746,0.11,6,245,4,0,1
747,0.36,2,132,3,0,1
748,0.43,2,130,3,0,1
749,0.4,2,127,3,0,1
750,0.86,4,246,6,0,0
751,0.38,2,145,3,0,1
752,0.46,2,138,3,0,0
753,0.37,2,129,3,0,0
754,0.43,2,150,3,0,1
755,0.66,5,253,5,0,1
756,0.37,2,160,3,0,1
757,0.77,5,235,5,0,0
758,0.38,2,151,3,0,0
759,0.39,2,127,3,0,0
760,0.41,2,151,3,0,1
761,0.1,7,290,4,0,1
762,0.09,6,249,4,0,1
763,0.41,2,131,3,0,1
764,0.39,2,159,3,0,0
765,0.83,4,223,5,0,1
766,0.09,3,214,2,0,1
767,0.75,5,227,5,0,1
768,0.44,2,127,3,0,0
769,0.1,6,293,5,0,1
770,0.42,2,141,3,0,1
771,0.1,6,300,4,0,1
772,0.1,6,309,4,0,0
773,0.31,4,149,3,0,1
774,0.42,2,159,3,0,1
775,0.38,2,152,3,0,1
776,0.39,2,158,3,0,0
777,0.1,6,254,5,0,0
778,0.11,6,294,4,0,1
779,0.1,7,269,4,0,0
780,0.11,7,247,4,0,0
781,0.44,3,271,4,0,1
782,0.91,4,232,5,0,0
783,0.72,4,245,5,0,0
784,0.36,2,132,3,0,0
785,0.44,2,131,3,0,1
786,0.85,5,248,5,0,1
787,0.78,5,225,5,0,1
788,0.39,2,156,3,0,1
789,0.78,3,222,2,0,0
790,0.1,6,243,4,1,1
791,0.23,4,204,4,1,0
792,0.11,6,301,4,0,1
793,0.9,5,259,5,0,0
794,0.91,4,247,5,0,1
795,0.11,7,295,4,0,1
796,0.43,2,150,3,0,1
797,0.45,2,151,3,0,1
798,0.11,5,291,4,0,0
799,0.11,6,253,4,1,0
800,0.43,2,161,3,0,1
801,0.91,4,251,6,0,1
802,0.43,2,153,3,0,0
803,0.85,5,264,6,0,1
804,0.1,6,310,4,0,0
805,0.81,5,266,5,0,0
806,0.36,4,237,2,0,0
807,0.45,2,138,3,0,0
808,0.86,5,227,5,0,1
809,0.71,4,300,5,0,0
810,0.11,7,310,4,0,1
811,0.84,5,236,5,0,1
812,0.09,7,288,4,0,0
813,0.38,2,127,3,0,0
814,0.15,6,139,4,0,1
815,0.1,7,253,4,1,0
816,0.8,4,218,5,1,0
817,0.84,5,251,5,0,1
818,0.11,6,264,4,0,1
819,0.89,3,149,2,0,1
820,0.45,2,138,3,0,1
821,0.11,7,284,4,0,1
822,0.74,5,244,5,0,1
823,0.41,2,128,3,0,0
824,0.44,2,154,3,0,1
825,0.37,2,138,3,0,0
826,0.11,6,308,4,0,0
827,0.1,6,269,4,0,0
828,0.7,6,136,3,0,1
829,0.59,2,160,5,0,0
830,0.38,2,138,3,0,1
831,0.72,4,220,5,0,0
832,0.73,5,274,5,0,1
833,0.39,2,161,3,0,0
834,0.89,5,224,6,0,1
835,0.89,4,260,5,0,0
836,0.11,6,300,4,1,1
837,0.43,2,133,3,0,1
838,0.09,6,308,4,0,0
839,0.81,5,238,6,0,1
840,0.37,2,126,3,0,1
841,0.36,2,138,3,0,1
842,0.11,6,299,4,0,1
843,0.1,6,254,4,0,1
844,0.66,7,156,2,0,1
845,0.39,2,152,3,0,0
846,0.44,2,146,3,0,1
847,0.1,6,253,4,0,1
848,0.79,5,227,6,0,0
849,0.1,6,301,4,1,0
850,0.54,6,294,3,0,1
851,0.37,2,151,3,0,1
852,0.37,2,128,3,0,1
853,0.82,5,217,5,0,0
854,0.45,2,160,3,0,0
855,0.79,5,263,5,0,0
856,0.42,2,156,3,0,1
857,0.1,6,273,4,0,1
858,0.11,6,303,4,0,1
859,0.74,4,253,5,0,1
860,0.1,6,270,4,0,0
861,0.79,4,218,5,0,0
862,0.43,2,144,3,0,0
863,0.41,2,154,3,0,0
864,0.39,2,146,3,0,0
865,0.1,6,260,4,0,1
866,0.82,5,218,5,0,0
867,0.41,2,128,3,0,0
868,0.42,2,128,3,0,0
